  … 182 scanned, 100 updated (at 0atrobw3)
  … 426 scanned, 200 updated (at 0iax7dj5)
  … 662 scanned, 300 updated (at 0pbderwm)
  … 862 scanned, 400 updated (at 0vafx6q3)
  … 1068 scanned, 500 updated (at 13h4cnfw)
  … 1298 scanned, 600 updated (at 1dburvse)
  … 1504 scanned, 700 updated (at 1jac4xae)
  … 1717 scanned, 800 updated (at 1ph64yf7)
  … 1914 scanned, 900 updated (at 1utaa0tp)
  … 2116 scanned, 1000 updated (at 20dimt3k)
  … 2336 scanned, 1100 updated (at 2ca4hy7i)
  … 2542 scanned, 1200 updated (at 2ii7udd5)
  … 2736 scanned, 1300 updated (at 2nbexwyi)
  … 2937 scanned, 1400 updated (at 2u0dlndz)
Backfill done. scanned=3000 updated=1426 (year=0 mileage=0 canonical_path=0 quality_flags=0 presentation=3899) purged=0 last_code=2wcend1g
