GLOBAL LIQUIDITY RANKING REPORT
================================================================================================================
Rank  Car Name                                                         Volume       Mean Price         CV  Liquidity
----------------------------------------------------------------------------------------------------------------
   1  پژو / 206 / تیپ 2                                                   453    1,035,067,329     0.2301     3.9788
   2  پژو / 207 / پانوراما دنده ای TU5                                    372    1,943,438,172     0.0757     3.9227
   3  پژو / 207 / دنده ای TU5                                             285    1,735,263,158     0.0881     3.7583
   4  کی ام سی / J7 / اتوماتیک                                            264    4,100,685,606     0.1892     3.6721
   5  پژو / 206 / تیپ 5                                                   253    1,266,426,877     0.1409     3.6661
   6  پژو / 207 / پانوراما اتوماتیک TU5P                                  237    2,596,215,190     0.0719     3.6546
   7  دنا / پلاس EF7 / اتوماتیک توربو آپشنال                              229    2,668,606,987     0.0586     3.6394
   8  ساینا / S / دنده ای بنزینی                                          224    1,184,145,089     0.0833     3.6163
   9  سمند / سورن / پلاس XU7P بنزینی                                      215    1,679,479,070     0.0467     3.6065
  10  لوکانو / L7 / 1.6 لیتر توربو                                        207    6,827,801,932     0.0545     3.5807
  11  لاماری / ایما / اتوماتیک                                            208    5,202,228,365     0.0890     3.5698
  12  پژو / پارس / XU7                                                    228    1,168,473,684     0.2262     3.5697
  13  فولکس / ID.4 Crozz / پیور                                           197    6,604,162,437     0.0460     3.5545
  14  پژو / 207 / پانوراما دنده ای TU5P                                   193    2,266,891,192     0.0555     3.5385
  15  تویوتا / کرولا کراس هیبرید / 2.0 لیتر                               190    7,654,242,105     0.0589     3.5278
  16  فولکس / آی دی یونیکس / پیور                                         183    7,519,420,765     0.0748     3.4990
  17  کی ام سی / X5 / 1.5 لیتر توربو                                      199    4,103,839,196     0.2167     3.4923
  18  چانگان / CS 55 پلاس / 1.5 لیتر توربو                                181    6,328,038,674     0.0775     3.4914
  19  شاهین / G دنده ای / دنده ای                                         180    1,895,438,889     0.0823     3.4862
  20  پراید / صندوق دار / دنده ای                                         195      394,002,564     0.2070     3.4841
  21  پراید / 131 / SE                                                    183      676,071,038     0.1384     3.4736
  22  هیوندای / سانتافه / 4 سیلندر دو دیفرانسیل                           179    7,120,502,793     0.1462     3.4573
